key_mlbam,name_first,name_last
643206,Daniel,Ayers
543220,Jesse,Ginley
668672,Brett,Adcock
NA,Han Gyeol,Park
466193,Waner,Santana
NA,John,Cerretani
NA,Dom,Brasseco
NA,Thomas,Rollauer
456070,Luis,Miguel
606302,Angel,Lezama
NA,Javier,Meza
678210,Greyson,Lambert
452043,Brok,Butcher
NA,Aaron,Hurd
NA,Masaki,Onishi
683941,Ryan,Flores
NA,Alex,Corna
446210,Dane,Mason
656184,Brady,Aiken
676334,Robbie,Hitt
803255,Mario,Rosas
813274,Josh,Russell
NA,Dom,Zinna
543718,Eric,Roof
NA,Josef,Bermúdez
NA,Trent,Reitmayer
NA,Brian,Davis
686909,Sean,McLaughlin
821419,Juarlin,Soto
703529,Noah,DeLuga
701552,Andre,Granillo
703130,Irving,Igualas
547924,Andrea,De Santis
592405,Connor,Hofmann
828445,Greidi,Pina
673131,Kentaro,Ueda
690520,Alex,Barker
570661,Adalberto,Lopez
NA,Jarrett,Weglarz
665185,Luis,Lopez
502593,Jake,Petricka
702214,Harry,Owen
NA,Yuri,Fernández
NA,Adam,Kalafos
NA,Gannon,Andrews
NA,Bruce,Alter
NA,Brady,Adam
664180,Matt,Hall
642706,Javier,Godard
452660,German,Marte
670868,Abrahan,Gutierrez
NA,Paul,Sachen
572878,Michael,Gonzales
806399,Brett,Taucher
NA,Jackson,Rains
501189,Jeffrie,Castano
NA,Jay,Aghanya
622178,Jose,Ariza
622762,Victor,Rey
668460,Rafael,Rodriguez
702371,Edwar,Alvarado
826545,Brendan,Durfee
NA,Cam,Maxey
520951,Santos,Rodriguez
683390,Luis,Mendoza
NA,Bobby,Pollock
NA,Kota,Satoh
500782,Marcos,Tabata
NA,Jacob,Mulcahy
621242,Edwin,Díaz
684421,Noel,Solis
NA,Tyler,Nichol
670032,Nicky,Lopez
627513,Edwin,Jimenez
NA,Seth,Crandall
NA,Andrew,Hill
608283,Doug,Bream
699086,Kikito,Severino
NA,Weltin,Cabrera
673710,Justice,Beck
NA,Pao Huang,Wang
687654,Hakim,Salaam
605654,Andy,Otamendi
NA,Justin,Schander
572825,Josh,Dunn
518784,Justin,Henry
649420,Cam,Kneeland
660845,Domingo,Pena
666574,Josh,Fritsch
NA,Quinten,Cooleen
NA,Caleb,Buehrle
815428,Brodie,Johnston
805995,Simon,Reid
800966,Grant,Nicholson
669031,Andrew,Gist
502251,Roderick,Barcelo
681908,Boby,Johnson
514970,Berbis,Bandres
666713,Victor,Cervantes
518464,Seth,Blair
NA,Jared,Kelly
467816,Juan,Sanchez
695719,Peyton,Smith
453579,Jason,Denham
NA,Ryan,Egan
473220,Rene,Paredes
519279,Ryan,Sharpley
NA,Orlando,Cannon
444964,Trevor,Mortensen
545575,Montana,Dye
622270,Alex,Mejia
NA,Heng Yu,Ho
447767,Tim,Duff
489122,Kyle,Miller
NA,Jack,Brown
472606,Nestor,Mendoza
694648,Luis,Espinal
501755,Luis,De La Cruz
813617,Nicholas,Badillo
